GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,81,0,3,2,2,rheaPlayer,2,3,3,1,mctsPlayer,1,GroupAA MCTS Agent,rheaPlayer,42.0,31.0,70.0,mctsPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,2
879079583,SushiGo,3,GAME_OVER,83,0,3,3,1,GroupAA MCTS Agent,1,3,3,2,mctsPlayer,2,rheaPlayer,GroupAA MCTS Agent,60.0,41.0,41.0,mctsPlayer,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,1
-619666105,SushiGo,3,GAME_OVER,82,0,3,4,2,GroupAA MCTS Agent,2,1,1,3,rheaPlayer,3,mctsPlayer,GroupAA MCTS Agent,47.0,58.0,45.0,rheaPlayer,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,0
503938916,SushiGo,3,GAME_OVER,83,0,3,5,3,rheaPlayer,3,1,1,2,GroupAA MCTS Agent,2,mctsPlayer,rheaPlayer,39.0,44.0,43.0,GroupAA MCTS Agent,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,mctsPlayer,0
-428737539,SushiGo,3,GAME_OVER,82,0,3,6,1,GroupAA MCTS Agent,1,3,3,2,mctsPlayer,2,rheaPlayer,GroupAA MCTS Agent,51.0,43.0,45.0,mctsPlayer,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,1
-1745970416,SushiGo,3,GAME_OVER,82,0,3,7,3,mctsPlayer,3,1,1,2,rheaPlayer,2,GroupAA MCTS Agent,mctsPlayer,43.0,60.0,44.0,rheaPlayer,GroupAA MCTS Agent,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,0
-1436161366,SushiGo,3,GAME_OVER,82,0,3,8,2,mctsPlayer,2,1,1,3,rheaPlayer,3,GroupAA MCTS Agent,mctsPlayer,44.0,45.0,41.0,rheaPlayer,GroupAA MCTS Agent,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,0
-1151041315,SushiGo,3,GAME_OVER,83,0,3,9,3,rheaPlayer,3,2,2,1,GroupAA MCTS Agent,1,mctsPlayer,rheaPlayer,34.0,43.0,48.0,GroupAA MCTS Agent,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,mctsPlayer,2
697067980,SushiGo,3,GAME_OVER,83,0,3,10,1,GroupAA MCTS Agent,1,2,2,3,mctsPlayer,3,rheaPlayer,GroupAA MCTS Agent,46.0,41.0,32.0,mctsPlayer,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,1
1168140970,SushiGo,3,GAME_OVER,82,0,3,11,1,rheaPlayer,1,3,3,2,mctsPlayer,2,GroupAA MCTS Agent,rheaPlayer,49.0,35.0,46.0,mctsPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,1
-1491060889,SushiGo,3,GAME_OVER,83,0,3,12,2,rheaPlayer,2,3,3,1,GroupAA MCTS Agent,1,mctsPlayer,rheaPlayer,44.0,41.0,51.0,GroupAA MCTS Agent,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,mctsPlayer,2
-1819802610,SushiGo,3,GAME_OVER,84,0,3,13,1,mctsPlayer,1,2,2,3,GroupAA MCTS Agent,3,rheaPlayer,mctsPlayer,38.0,37.0,37.0,GroupAA MCTS Agent,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,1
-2121274456,SushiGo,3,GAME_OVER,82,0,3,14,3,rheaPlayer,3,2,2,1,GroupAA MCTS Agent,1,mctsPlayer,rheaPlayer,30.0,41.0,52.0,GroupAA MCTS Agent,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,mctsPlayer,2
259280696,SushiGo,3,GAME_OVER,81,0,3,15,1,rheaPlayer,1,3,3,2,mctsPlayer,2,GroupAA MCTS Agent,rheaPlayer,37.0,36.0,37.0,mctsPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,1
1706137030,SushiGo,3,GAME_OVER,82,0,3,16,1,GroupAA MCTS Agent,1,3,3,2,mctsPlayer,2,rheaPlayer,GroupAA MCTS Agent,53.0,48.0,51.0,mctsPlayer,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,1
545138396,SushiGo,3,GAME_OVER,82,0,3,17,2,mctsPlayer,2,1,1,3,GroupAA MCTS Agent,3,rheaPlayer,mctsPlayer,52.0,61.0,47.0,GroupAA MCTS Agent,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,0
1376458976,SushiGo,3,GAME_OVER,81,0,3,18,2,GroupAA MCTS Agent,2,3,3,1,rheaPlayer,1,mctsPlayer,GroupAA MCTS Agent,43.0,36.0,54.0,rheaPlayer,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,2
1195311045,SushiGo,3,GAME_OVER,81,0,3,19,1,GroupAA MCTS Agent,1,2,2,3,mctsPlayer,3,rheaPlayer,GroupAA MCTS Agent,53.0,48.0,39.0,mctsPlayer,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,1
813477029,SushiGo,3,GAME_OVER,81,0,3,20,2,rheaPlayer,2,3,3,1,mctsPlayer,1,GroupAA MCTS Agent,rheaPlayer,41.0,37.0,45.0,mctsPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,2
-1466178614,SushiGo,3,GAME_OVER,82,0,3,21,1,rheaPlayer,1,2,2,3,mctsPlayer,3,GroupAA MCTS Agent,rheaPlayer,53.0,43.0,42.0,mctsPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,1
-118322159,SushiGo,3,GAME_OVER,81,0,3,22,3,GroupAA MCTS Agent,3,1,1,2,rheaPlayer,2,mctsPlayer,GroupAA MCTS Agent,34.0,55.0,40.0,rheaPlayer,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,0
-1428166355,SushiGo,3,GAME_OVER,81,0,3,23,3,GroupAA MCTS Agent,3,2,2,1,rheaPlayer,1,mctsPlayer,GroupAA MCTS Agent,30.0,38.0,41.0,rheaPlayer,mctsPlayer,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,2
1144294523,SushiGo,3,GAME_OVER,81,0,3,24,1,GroupAA MCTS Agent,1,3,3,2,mctsPlayer,2,rheaPlayer,GroupAA MCTS Agent,59.0,50.0,52.0,mctsPlayer,rheaPlayer,mctsPlayer,GroupAA MCTS Agent,rheaPlayer,1
2100098225,SushiGo,3,GAME_OVER,81,0,3,25,3,mctsPlayer,3,1,1,2,GroupAA MCTS Agent,2,rheaPlayer,mctsPlayer,44.0,53.0,48.0,GroupAA MCTS Agent,rheaPlayer,GroupAA MCTS Agent,mctsPlayer,rheaPlayer,0
